酒店名称,地址,评分,价格,评价
都江堰青城豪生国际酒店,五星级_都江堰青城山镇豪生路33号,4.7,699,"非常难得他家有2.4米的大床房,比1，花好月圆为伴"
熊猫驿站主题文化酒店(都江堰景区南桥店),高档型_都江堰建设路白果巷47号,4.7,289,"必须推荐的一家熊猫主题酒店?环境优美，服务员的服务倒是挺好的,很客气"
成都世代锦江国际酒店,四星级_成都锦江区下南大街59号(与滨江西路交汇处),4.8,475,"环境特别好整洁明亮有超大落地窗，房间大,床太舒服了,服务超级棒棒"
成都熊猫竹韵酒店(双流国际机场店),舒适型_成都双流区西航港大道一段209号,4.6,158,"服务真的不错，热水充足,有空调,总之很满意"
成都玉林路省体育馆逸扉酒店,高档型_成都武侯区人民南路四段12号,4.8,181,"出行比较方便,离地铁站不远，酒店位置很好,坐地铁方便"
梦之旅天台花园国际青年旅舍(成都武侯祠锦里店),舒适型_成都武侯区武候祠大街242号,4.6,43,"半封闭的,垫子软软的,总体还不错，我真的很喜欢这里"
维也纳智好酒店(宽窄巷子骡马市地铁站店),舒适型_成都青羊区过街楼街17号,4.4,159,"整体不错位置方便房间宽敞，距离打卡景点都很近,交通方便"
都江堰中心国际酒店,高档型_都江堰都江堰大道2号,4.4,203,"酒店位置好,早餐丰富，房间干净整洁,洗漱用品和床品都不错"
皈徕栖精品酒店(成都春熙路九眼桥店),高档型_成都武侯区龙江路14号,4.6,445,"很干净,阿姨每天都有认真打扫，房间环境优雅,早餐也非常棒"
POSHPACKER驴友记青年旅舍(成都文殊院店),舒适型_成都金牛区星辉西路任家湾23号,4.6,161,"最让我开心的是还有一个台球桌可以玩，真的超喜欢这种感觉,房间卫生比较干净"
成都普罗斯泰酒店,舒适型_成都温江区柳河南路98号,4.7,240,"前台小奉服务特别好,酒店内环境也不错，糕点也很不错,餐厅环境优雅,吃早饭舒服"
成都西藏饭店,五星级_成都金牛区人民北路一段10号,4.8,92,"发现确实是非常有特色的一家酒店，耐心细致,周到入微,我们很感谢"
优尼客酒店(成都红牌楼地铁站店),高档型_成都武侯区二环路西一段六号,4.8,314,"但是卫生环境很不错,各项设施齐全，看了很久才选定这家,家人都表示非常满意"
檀香花园酒店(茶店子客运站地铁店),高档型_成都金牛区蜀跃东路262号1栋1单元4楼1号、2号、3号、12号、13号、14号,4.7,203,"设施齐全,有舒适的床铺和良好的洗浴设施，早餐很好,床很舒服"
四川岷山饭店,五星级_成都锦江区人民南路二段55号,4.8,468,"1交通便利,地铁1号线出口距离酒店很近，小江非常能干,贴心和细心"
尚锦品酒店(成都太古里店),高档型_成都成华区天祥街22号,4.9,182,"小胡服务很好,还给升了房型,房间挺大，服务特别周到,住得很安心"
维也纳酒店(成都南站三瓦窑地铁站店),舒适型_成都武侯区高攀路2号魏玛国际,4.6,327,"前台帅哥很热情,酒店环境不错,卫生很好，前厅服务很好,早餐很好吃,房间很大"
魅城酒店(成都火车东站店),舒适型_成都成华区万科路19号魅力六期,4.9,121,"酒店地理位置很好,楼下都是吃的，小武服务特别好,酒店房间干净整洁"
成都艺家风格酒店(金沙遗址一品天下地铁站店),舒适型_成都金牛区羊西线蜀汉路530号,4.5,200,"很舒服,卫生间也大,真心不错，设施齐全,客厅和卧室竟然都有电视和桌椅"
石化国际酒店(成都会展中心海昌极地海洋公园店),高档型_成都双流区高新区天府新区天府大道南段2028号,4.5,341,交通还可以距离地铁口走路8分钟左右，还特别备有儿童读物以及一只熊猫玩偶
成都太古里瑞升芭富丽大酒店,四星级_成都成华区玉双路7号,4.8,400,"必须要给个好评,位置去热门景点都不远，特别是卿彰秀小姐姐,亲切暖心"
成都X阆中酒店(成都火车东站迎晖路地铁站店),高档型_成都成华区迎晖路81号,4.3,204,"但是很干净,工作人员每天都会来仔细打扫，周边吃饭还算方便,好几家便利店"
成都港湾公寓酒店(双流国际机场店),舒适型_成都双流区航空港锦华路二段166号北京华联背后七天12楼1207,4.8,161,"适合入住,卫生很整洁,房间很大，这个大屏幕看着很舒服"
